
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-03, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
   410 |  3.821e-07 |  3.816e-08 |  1.238e-08 |  9.81e-05 |  2.33e-04 |  6.21e-05 |  2.01e-02 |  9.08e-03 |  1.82e-04 |  1.0e-04 |  6.27e-11 |  1.16e-03
   420 |  3.765e-07 |  3.760e-08 |  1.216e-08 |  9.72e-05 |  2.31e-04 |  6.19e-05 |  1.98e-02 |  8.99e-03 |  1.78e-04 |  1.0e-04 |  7.05e-11 |  1.15e-03
   430 |  3.712e-07 |  3.706e-08 |  1.194e-08 |  9.63e-05 |  2.28e-04 |  6.17e-05 |  1.95e-02 |  8.90e-03 |  1.74e-04 |  1.0e-04 |  6.14e-11 |  1.15e-03
   440 |  3.661e-07 |  3.656e-08 |  1.173e-08 |  9.56e-05 |  2.26e-04 |  6.07e-05 |  1.93e-02 |  8.82e-03 |  1.70e-04 |  1.0e-04 |  5.84e-11 |  1.14e-03
   450 |  3.612e-07 |  3.607e-08 |  1.154e-08 |  9.48e-05 |  2.24e-04 |  6.03e-05 |  1.90e-02 |  8.74e-03 |  1.66e-04 |  1.0e-04 |  8.08e-11 |  1.14e-03
   460 |  3.563e-07 |  3.559e-08 |  1.136e-08 |  9.40e-05 |  2.22e-04 |  6.04e-05 |  1.88e-02 |  8.66e-03 |  1.62e-04 |  1.0e-04 |  6.40e-11 |  1.14e-03
   470 |  3.519e-07 |  3.514e-08 |  1.117e-08 |  9.33e-05 |  2.21e-04 |  5.94e-05 |  1.85e-02 |  8.58e-03 |  1.59e-04 |  1.0e-04 |  6.10e-11 |  1.13e-03
   480 |  3.474e-07 |  3.470e-08 |  1.100e-08 |  9.26e-05 |  2.19e-04 |  5.92e-05 |  1.83e-02 |  8.50e-03 |  1.55e-04 |  1.0e-04 |  6.82e-11 |  1.13e-03
   490 |  3.432e-07 |  3.428e-08 |  1.084e-08 |  9.19e-05 |  2.17e-04 |  5.88e-05 |  1.81e-02 |  8.43e-03 |  1.52e-04 |  1.0e-04 |  4.83e-11 |  1.12e-03
   500 |  3.392e-07 |  3.388e-08 |  1.070e-08 |  9.13e-05 |  2.16e-04 |  5.92e-05 |  1.78e-02 |  8.36e-03 |  1.49e-04 |  1.0e-04 |  5.02e-11 |  1.12e-03
   510 |  3.353e-07 |  3.349e-08 |  1.055e-08 |  9.07e-05 |  2.14e-04 |  5.86e-05 |  1.76e-02 |  8.29e-03 |  1.46e-04 |  1.0e-04 |  4.90e-11 |  1.12e-03
   520 |  3.314e-07 |  3.311e-08 |  1.041e-08 |  9.01e-05 |  2.12e-04 |  5.82e-05 |  1.74e-02 |  8.22e-03 |  1.43e-04 |  1.0e-04 |  6.79e-11 |  1.12e-03
   530 |  3.278e-07 |  3.274e-08 |  1.027e-08 |  8.94e-05 |  2.11e-04 |  5.79e-05 |  1.72e-02 |  8.15e-03 |  1.40e-04 |  1.0e-04 |  4.68e-11 |  1.11e-03
   540 |  3.241e-07 |  3.237e-08 |  1.012e-08 |  8.88e-05 |  2.09e-04 |  5.75e-05 |  1.70e-02 |  8.89e-03 |  1.52e-04 |  1.0e-04 |  4.53e-11 |  1.11e-03
   550 |  3.204e-07 |  3.200e-08 |  9.991e-09 |  8.82e-05 |  2.08e-04 |  5.75e-05 |  1.69e-02 |  8.82e-03 |  1.49e-04 |  1.0e-04 |  5.03e-11 |  1.11e-03
   560 |  3.168e-07 |  3.164e-08 |  9.845e-09 |  8.76e-05 |  2.06e-04 |  5.71e-05 |  1.66e-02 |  8.75e-03 |  1.46e-04 |  1.0e-04 |  5.82e-11 |  1.10e-03
   570 |  3.133e-07 |  3.129e-08 |  9.722e-09 |  8.71e-05 |  2.05e-04 |  5.69e-05 |  1.65e-02 |  8.68e-03 |  1.43e-04 |  1.0e-04 |  4.65e-11 |  1.10e-03
   580 |  3.098e-07 |  3.095e-08 |  9.596e-09 |  8.65e-05 |  2.03e-04 |  5.69e-05 |  1.63e-02 |  8.62e-03 |  1.40e-04 |  1.0e-04 |  5.40e-11 |  1.10e-03
   590 |  3.066e-07 |  3.063e-08 |  9.462e-09 |  8.59e-05 |  2.02e-04 |  5.64e-05 |  1.61e-02 |  8.55e-03 |  1.37e-04 |  1.0e-04 |  4.58e-11 |  1.09e-03
   600 |  3.034e-07 |  3.031e-08 |  9.357e-09 |  8.54e-05 |  2.01e-04 |  5.65e-05 |  1.59e-02 |  8.49e-03 |  1.35e-04 |  1.0e-04 |  4.93e-11 |  1.09e-03
   610 |  3.003e-07 |  3.000e-08 |  9.237e-09 |  8.48e-05 |  1.99e-04 |  5.63e-05 |  1.57e-02 |  8.42e-03 |  1.32e-04 |  1.0e-04 |  4.72e-11 |  1.09e-03
   620 |  2.974e-07 |  2.970e-08 |  9.133e-09 |  8.43e-05 |  1.98e-04 |  5.63e-05 |  1.56e-02 |  8.36e-03 |  1.30e-04 |  1.0e-04 |  4.83e-11 |  1.09e-03
   630 |  2.944e-07 |  2.942e-08 |  9.022e-09 |  8.38e-05 |  1.97e-04 |  5.63e-05 |  1.54e-02 |  8.30e-03 |  1.28e-04 |  1.0e-04 |  4.86e-11 |  1.08e-03
   640 |  2.917e-07 |  2.914e-08 |  8.912e-09 |  8.33e-05 |  1.95e-04 |  5.58e-05 |  1.52e-02 |  8.24e-03 |  1.26e-04 |  1.0e-04 |  5.44e-11 |  1.08e-03
   650 |  2.890e-07 |  2.887e-08 |  8.805e-09 |  8.28e-05 |  1.94e-04 |  5.55e-05 |  1.51e-02 |  8.18e-03 |  1.23e-04 |  1.0e-04 |  5.17e-11 |  1.08e-03
   660 |  2.863e-07 |  2.860e-08 |  8.713e-09 |  8.24e-05 |  1.93e-04 |  5.58e-05 |  1.49e-02 |  8.13e-03 |  1.21e-04 |  1.0e-04 |  5.94e-11 |  1.08e-03
   670 |  2.837e-07 |  2.835e-08 |  8.603e-09 |  8.19e-05 |  1.92e-04 |  5.49e-05 |  1.48e-02 |  8.07e-03 |  1.19e-04 |  1.0e-04 |  5.60e-11 |  1.07e-03
   680 |  2.812e-07 |  2.810e-08 |  8.524e-09 |  8.15e-05 |  1.91e-04 |  5.55e-05 |  1.47e-02 |  8.01e-03 |  1.17e-04 |  1.0e-04 |  5.81e-11 |  1.07e-03
   690 |  2.788e-07 |  2.786e-08 |  8.432e-09 |  8.11e-05 |  1.90e-04 |  5.52e-05 |  1.45e-02 |  7.96e-03 |  1.16e-04 |  1.0e-04 |  4.83e-11 |  1.07e-03
   700 |  2.765e-07 |  2.762e-08 |  8.334e-09 |  8.06e-05 |  1.88e-04 |  5.47e-05 |  1.44e-02 |  7.91e-03 |  1.14e-04 |  1.0e-04 |  5.38e-11 |  1.07e-03
