iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bc_mse,ic_mse,pde_rms,bc_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2
770,2.611e-07,2.609e-08,7.741e-09,6.052839999999999e-09,3.2761000000000005e-08,2.90521e-09,7.78e-05,0.000181,5.39e-05,0.0135,0.00832,0.000112,0.0001,4.69e-11,0.00105
780,2.59e-07,2.588e-08,7.657e-09,5.990759999999999e-09,3.2400000000000006e-08,2.8729600000000004e-09,7.74e-05,0.00018,5.36e-05,0.0134,0.00826,0.00011,0.0001,5.1e-11,0.00105
790,2.57e-07,2.568e-08,7.581e-09,5.9290000000000005e-09,3.2040999999999996e-08,2.8515599999999996e-09,7.7e-05,0.000179,5.34e-05,0.0133,0.00821,0.000109,0.0001,6.13e-11,0.00105
800,2.55e-07,2.549e-08,7.503e-09,5.867560000000001e-09,3.1328999999999996e-08,2.83024e-09,7.66e-05,0.000177,5.32e-05,0.0131,0.00816,0.000107,0.0001,5.31e-11,0.00105
810,2.531e-07,2.529e-08,7.432e-09,5.8216899999999996e-09,3.0976e-08,2.84089e-09,7.63e-05,0.000176,5.33e-05,0.013,0.00812,0.000106,0.0001,5.17e-11,0.00105
820,2.513e-07,2.511e-08,7.363e-09,5.776000000000001e-09,3.0625e-08,2.809e-09,7.6e-05,0.000175,5.3e-05,0.0129,0.00807,0.000104,0.0001,5.8e-11,0.00104
830,2.495e-07,2.493e-08,7.284e-09,5.715359999999999e-09,3.0276e-08,2.77729e-09,7.56e-05,0.000174,5.27e-05,0.0128,0.00802,0.000103,0.0001,4.59e-11,0.00104
840,2.477e-07,2.475e-08,7.222e-09,5.67009e-09,2.9929e-08,2.7984099999999996e-09,7.53e-05,0.000173,5.29e-05,0.0127,0.00797,0.000101,0.0001,4.49e-11,0.00104
850,2.46e-07,2.458e-08,7.152e-09,5.610010000000001e-09,2.9584000000000002e-08,2.77729e-09,7.49e-05,0.000172,5.27e-05,0.0126,0.00793,9.98e-05,0.0001,4.91e-11,0.00104
860,2.443e-07,2.441e-08,7.08e-09,5.5651599999999994e-09,2.9241000000000004e-08,2.74576e-09,7.46e-05,0.000171,5.24e-05,0.0125,0.00788,9.84e-05,0.0001,5.54e-11,0.00104
870,2.426e-07,2.425e-08,7.016e-09,5.520490000000001e-09,2.9241000000000004e-08,2.7352899999999996e-09,7.43e-05,0.000171,5.23e-05,0.0124,0.00784,9.71e-05,0.0001,4.84e-11,0.00103
880,2.411e-07,2.409e-08,6.951e-09,5.461209999999999e-09,2.8900000000000004e-08,2.7352899999999996e-09,7.39e-05,0.00017,5.23e-05,0.0123,0.0078,9.57e-05,0.0001,4.88e-11,0.00103
890,2.395e-07,2.393e-08,6.882e-09,5.41696e-09,2.8560999999999997e-08,2.66256e-09,7.36e-05,0.000169,5.16e-05,0.0122,0.00775,9.45e-05,0.0001,3.96e-11,0.00103
900,2.38e-07,2.378e-08,6.822e-09,5.372890000000001e-09,2.8224e-08,2.6728900000000003e-09,7.33e-05,0.000168,5.17e-05,0.0121,0.00771,9.33e-05,0.0001,4.93e-11,0.00103
910,2.365e-07,2.363e-08,6.758e-09,5.329e-09,2.7889e-08,2.6419600000000003e-09,7.3e-05,0.000167,5.14e-05,0.012,0.00767,9.21e-05,0.0001,3.38e-11,0.00103
920,2.35e-07,2.349e-08,6.699e-09,5.2852900000000005e-09,2.7556e-08,2.6214399999999996e-09,7.27e-05,0.000166,5.12e-05,0.0119,0.00763,9.1e-05,0.0001,4.51e-11,0.00103
930,2.336e-07,2.334e-08,6.649e-09,5.25625e-09,2.7225e-08,2.65225e-09,7.25e-05,0.000165,5.15e-05,0.0118,0.00759,8.98e-05,0.0001,4.69e-11,0.00103
940,2.322e-07,2.321e-08,6.601e-09,5.212840000000001e-09,2.6896e-08,2.6728900000000003e-09,7.22e-05,0.000164,5.17e-05,0.0118,0.00755,8.87e-05,0.0001,4.16e-11,0.00102
950,2.308e-07,2.307e-08,6.531e-09,5.16961e-09,2.6569e-08,2.5908099999999997e-09,7.19e-05,0.000163,5.09e-05,0.0117,0.00751,8.76e-05,0.0001,4.52e-11,0.00102
960,2.295e-07,2.294e-08,6.485e-09,5.1265600000000005e-09,2.6569e-08,2.65225e-09,7.16e-05,0.000163,5.15e-05,0.0116,0.00747,8.66e-05,0.0001,4.92e-11,0.00102
970,2.281e-07,2.28e-08,6.421e-09,5.08369e-09,2.6244000000000003e-08,2.5603599999999996e-09,7.13e-05,0.000162,5.06e-05,0.0115,0.00743,8.55e-05,0.0001,5.27e-11,0.00102
980,2.268e-07,2.267e-08,6.365e-09,5.041e-09,2.5921000000000004e-08,2.55025e-09,7.1e-05,0.000161,5.05e-05,0.0114,0.00813,9.28e-05,0.0001,5.21e-11,0.00102
990,2.255e-07,2.254e-08,6.324e-09,5.01264e-09,2.5600000000000004e-08,2.601e-09,7.08e-05,0.00016,5.1e-05,0.0114,0.00736,8.35e-05,0.0001,4.26e-11,0.00102
1000,2.241e-07,2.24e-08,6.26e-09,4.970250000000001e-09,2.5280999999999997e-08,2.5300900000000003e-09,7.05e-05,0.000159,5.03e-05,0.0113,0.00805,9.08e-05,0.0001,5.01e-11,0.00101
1010,2.229e-07,2.227e-08,6.207e-09,4.92804e-09,2.4963999999999998e-08,2.55025e-09,7.02e-05,0.000158,5.05e-05,0.0112,0.00801,8.97e-05,0.0001,3.99e-11,0.00101
1020,2.217e-07,2.215e-08,6.157e-09,4.8860100000000006e-09,2.4648999999999998e-08,2.55025e-09,6.99e-05,0.000157,5.05e-05,0.0111,0.00797,8.86e-05,0.0001,4.77e-11,0.00101
1030,2.203e-07,2.202e-08,6.106e-09,4.85809e-09,2.4336e-08,2.52004e-09,6.97e-05,0.000156,5.02e-05,0.011,0.00793,8.75e-05,0.0001,4.42e-11,0.00101
1040,2.192e-07,2.19e-08,6.05e-09,4.8163600000000005e-09,2.4336e-08,2.5e-09,6.94e-05,0.000156,5e-05,0.011,0.00789,8.65e-05,0.0001,3.91e-11,0.00101
1050,2.179e-07,2.178e-08,5.995e-09,4.78864e-09,2.4025e-08,2.45025e-09,6.92e-05,0.000155,4.95e-05,0.0109,0.00786,8.56e-05,0.0001,5.63e-11,0.00101
1060,2.168e-07,2.166e-08,5.959e-09,4.747209999999999e-09,2.3716000000000002e-08,2.5e-09,6.89e-05,0.000154,5e-05,0.0108,0.00782,8.46e-05,0.0001,4.37e-11,0.00101
1070,2.156e-07,2.155e-08,5.899e-09,4.719690000000001e-09,2.3409e-08,2.44036e-09,6.87e-05,0.000153,4.94e-05,0.0107,0.00778,8.36e-05,0.0001,4.64e-11,0.001
1080,2.145e-07,2.144e-08,5.861e-09,4.67856e-09,2.3104000000000003e-08,2.47009e-09,6.84e-05,0.000152,4.97e-05,0.0107,0.00774,8.26e-05,0.0001,5.08e-11,0.001
1090,2.134e-07,2.133e-08,5.811e-09,4.651240000000001e-09,2.3104000000000003e-08,2.44036e-09,6.82e-05,0.000152,4.94e-05,0.0106,0.00771,8.17e-05,0.0001,3.84e-11,0.001
1100,2.123e-07,2.122e-08,5.773e-09,4.624e-09,2.2801000000000003e-08,2.46016e-09,6.8e-05,0.000151,4.96e-05,0.0105,0.00767,8.08e-05,0.0001,4.1e-11,0.001
1110,2.113e-07,2.112e-08,5.724e-09,4.596839999999999e-09,2.2499999999999996e-08,2.4108100000000003e-09,6.78e-05,0.00015,4.91e-05,0.0105,0.00764,7.99e-05,0.0001,4.12e-11,0.000999
1120,2.103e-07,2.102e-08,5.676e-09,4.55625e-09,2.2200999999999998e-08,2.401e-09,6.75e-05,0.000149,4.9e-05,0.0104,0.0076,7.91e-05,0.0001,3.81e-11,0.000998
1130,2.092e-07,2.091e-08,5.63e-09,4.529289999999999e-09,2.2200999999999998e-08,2.3619600000000004e-09,6.73e-05,0.000149,4.86e-05,0.0103,0.00757,7.83e-05,0.0001,3.49e-11,0.000997
1140,2.082e-07,2.082e-08,5.589e-09,4.50241e-09,2.1904e-08,2.35225e-09,6.71e-05,0.000148,4.85e-05,0.0103,0.00753,7.74e-05,0.0001,3.96e-11,0.000996
1150,2.073e-07,2.072e-08,5.548e-09,4.47561e-09,2.1609e-08,2.35225e-09,6.69e-05,0.000147,4.85e-05,0.0102,0.0075,7.66e-05,0.0001,4.23e-11,0.000994
1160,2.063e-07,2.063e-08,5.515e-09,4.4488899999999995e-09,2.1316e-08,2.35225e-09,6.67e-05,0.000146,4.85e-05,0.0102,0.00747,7.59e-05,0.0001,4.49e-11,0.000993
1170,2.054e-07,2.053e-08,5.473e-09,4.42225e-09,2.1316e-08,2.35225e-09,6.65e-05,0.000146,4.85e-05,0.0101,0.00744,7.5e-05,0.0001,4.28e-11,0.000992
1180,2.045e-07,2.044e-08,5.429e-09,4.39569e-09,2.1025e-08,2.3040000000000003e-09,6.63e-05,0.000145,4.8e-05,0.01,0.0074,7.43e-05,0.0001,4e-11,0.000991
1190,2.036e-07,2.035e-08,5.39e-09,4.369209999999999e-09,2.0736e-08,2.28484e-09,6.61e-05,0.000144,4.78e-05,0.00998,0.00737,7.36e-05,0.0001,3.7e-11,0.00099
1200,2.028e-07,2.026e-08,5.356e-09,4.34281e-09,2.0736e-08,2.3040000000000003e-09,6.59e-05,0.000144,4.8e-05,0.00993,0.00734,7.29e-05,0.0001,3.67e-11,0.000988
1210,2.019e-07,2.018e-08,5.318e-09,4.3164899999999994e-09,2.0449000000000003e-08,2.28484e-09,6.57e-05,0.000143,4.78e-05,0.00988,0.00731,7.22e-05,0.0001,3.82e-11,0.000987
1220,2.01e-07,2.01e-08,5.277e-09,4.290250000000001e-09,2.0164e-08,2.2562500000000004e-09,6.55e-05,0.000142,4.75e-05,0.00982,0.00728,7.14e-05,0.0001,4.14e-11,0.000986
1230,2.002e-07,2.001e-08,5.246e-09,4.26409e-09,2.0164e-08,2.26576e-09,6.53e-05,0.000142,4.76e-05,0.00977,0.00725,7.08e-05,0.0001,3.01e-11,0.000985
1240,1.994e-07,1.993e-08,5.212e-09,4.2380099999999995e-09,1.9881000000000004e-08,2.2562500000000004e-09,6.51e-05,0.000141,4.75e-05,0.00972,0.00722,7.01e-05,0.0001,3.38e-11,0.000984
1250,1.985e-07,1.985e-08,5.174e-09,4.212010000000001e-09,1.9599999999999997e-08,2.2467600000000002e-09,6.49e-05,0.00014,4.74e-05,0.00965,0.00719,6.93e-05,0.0001,3.99e-11,0.000983
1260,1.978e-07,1.977e-08,5.139e-09,4.18609e-09,1.9599999999999997e-08,2.21841e-09,6.47e-05,0.00014,4.71e-05,0.00962,0.00716,6.89e-05,0.0001,2.83e-11,0.000982
1270,1.97e-07,1.969e-08,5.112e-09,4.17316e-09,1.9320999999999998e-08,2.23729e-09,6.46e-05,0.000139,4.73e-05,0.00956,0.00713,6.82e-05,0.0001,3.32e-11,0.000981
