checkpoint_order,checkpoint,theta_path,density_order,nu,mu_damp,rank_rtol,use_jitter,jitter_sigma_x,jitter_sigma_t,same_points_across_checkpoints,same_bc_ic_across_densities,nx_pde,nt_pde,pde_points,bc_value_points,bc_derivative_points,ic_points,pde_rms,bc_val_rms,bc_der_rms,ic_rms,checkpoint_mse,checkpoint_relL2,elapsed_sec,m_constraints,n_params,sigma_min_J,sigma_max_J,rank_J,rank_tol,cond_JJt,cond_K_no_damp,cond_K_damped
2,iter_100,theta_damped_diag_200_iter_100.npy,2,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,20,20,400,100,100,200,0.09158929286234145,0.05189433226225384,0.06051563850256329,0.08396407520686058,0.005874307819656683,0.12493406280091855,4.116876602172852,800,1981,1.6102007127728608e-15,689.747388266735,507,6.89747388266735e-08,1.7834578278004543e+20,2.6673584636632846e+20,6902475.19539998
2,iter_100,theta_damped_diag_200_iter_100.npy,3,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,30,30,900,100,100,200,0.09348951016611001,0.05189433226225384,0.06051563850256329,0.08396407520686058,0.005874307819656683,0.12493406280091855,11.912856817245483,1300,1981,1.2947811864294563e-15,1733.8419688986735,771,1.7338419688986736e-07,1.1713080656755244e+21,8.162713091526881e+21,17343419.910403714
3,iter_200,theta_damped_diag_200_iter_200.npy,0,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,5,5,25,100,100,200,0.022663299663685566,1.7404327556500568e-05,2.0363186539029016e-05,3.407622916706164e-05,7.167585464220386e-05,0.013800313526815686,2.356417179107666,425,1981,2.2893620439912806e-15,301.95082965557714,150,3.019508296555772e-08,1.1222801391313756e+20,2.4748273385922144e+20,3024511.9371958165
3,iter_200,theta_damped_diag_200_iter_200.npy,1,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,10,10,100,100,100,200,0.010244929192331536,1.7404327556476983e-05,2.0363186539029016e-05,3.407622916706164e-05,7.167585464220386e-05,0.013800313526815686,2.740135908126831,500,1981,2.179322837998352e-15,913.954274933017,218,9.139542749330171e-08,2.521366667778883e+20,7.508229504768383e+20,9144543.617456421
3,iter_200,theta_damped_diag_200_iter_200.npy,2,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,20,20,400,100,100,200,0.04671667976259074,1.7404327556500568e-05,2.0363186539029016e-05,3.407622916706164e-05,7.167585464220386e-05,0.013800313526815686,4.153280019760132,800,1981,1.7388559395113513e-15,673.2673533230877,512,6.732673533230877e-08,1.2942636681347116e+20,2.4396452590996744e+20,6737674.890318593
3,iter_200,theta_damped_diag_200_iter_200.npy,3,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,30,30,900,100,100,200,0.0639885132607493,1.7404327556500568e-05,2.0363186539029016e-05,3.407622916706164e-05,7.167585464220386e-05,0.013800313526815686,8.176823616027832,1300,1981,1.5412763902752639e-15,1898.2735548917024,764,1.8982735548917025e-07,8.659694032359295e+21,1.1416425575892518e+21,18987735.707825664
4,final_best,theta_star_pointwise_jitter_1e-5.npz.npy,0,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,5,5,25,100,100,200,0.006819280107459748,9.182579951849412e-07,1.266415087831072e-06,5.613938960212884e-06,1.4411655676558988e-07,0.0006188130328899376,2.322399139404297,425,1981,2.303665027676168e-15,325.92925043593226,149,3.2592925043593224e-08,1.151424930998957e+20,3.7514507875154783e+21,3264295.8403956755
4,final_best,theta_star_pointwise_jitter_1e-5.npz.npy,1,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,10,10,100,100,100,200,0.0035883759637444063,9.182579952360668e-07,1.266415087831072e-06,5.613938960212884e-06,1.4411655676558988e-07,0.0006188130328899376,2.543565511703491,500,1981,2.253960955978828e-15,596.6496462361496,221,5.966496462361496e-08,3.94002499564148e+20,5.301469511407055e+21,5971498.057926664
4,final_best,theta_star_pointwise_jitter_1e-5.npz.npy,2,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,20,20,400,100,100,200,0.006548313470382721,9.182579951849412e-07,1.266415087831072e-06,5.613938960212884e-06,1.4411655676558988e-07,0.0006188130328899376,4.376354932785034,800,1981,1.8054241064032685e-15,501.0194883769973,510,5.0101948837699734e-08,4.7469265925943905e+20,1.9647679430448408e+20,5015196.879233413
4,final_best,theta_star_pointwise_jitter_1e-5.npz.npy,3,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,True,True,30,30,900,100,100,200,0.008202282143475704,9.182579951849412e-07,1.266415087831072e-06,5.613938960212884e-06,1.4411655676558988e-07,0.0006188130328899376,7.923434495925903,1300,1981,1.3109181627248076e-15,1452.0597763150377,751,1.4520597763150378e-07,1.3859154034649722e+21,6.042418224467131e+21,14525598.124338746
