iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
780,0.01213,1.191e-08,1.5625e-08,8.2369e-10,2.5281000000000003e-10,6.70761e-09
790,0.01198,1.18e-08,1.5376e-08,8.1796e-10,2.5281000000000003e-10,6.69124e-09
800,0.01183,1.169e-08,1.5376e-08,8.1796e-10,2.5281000000000003e-10,6.658560000000001e-09
810,0.01167,1.159e-08,1.5129000000000003e-08,8.1796e-10,2.4964000000000003e-10,6.64225e-09
820,0.01152,1.148e-08,1.5129000000000003e-08,8.122500000000001e-10,2.4964000000000003e-10,6.60969e-09
830,0.01137,1.137e-08,1.4884e-08,8.122500000000001e-10,2.4964000000000003e-10,6.5934399999999995e-09
840,0.01123,1.127e-08,1.4641e-08,8.122500000000001e-10,2.4964000000000003e-10,6.561000000000001e-09
850,0.01108,1.115e-08,1.4641e-08,8.122500000000001e-10,2.4964000000000003e-10,6.54481e-09
860,0.01094,1.104e-08,1.4400000000000002e-08,8.0656e-10,2.4964000000000003e-10,6.5286399999999995e-09
870,0.0108,1.092e-08,1.4161000000000002e-08,8.0656e-10,2.5281000000000003e-10,6.496359999999999e-09
880,0.01066,1.08e-08,1.4161000000000002e-08,8.0656e-10,2.5281000000000003e-10,6.4641600000000006e-09
890,0.01052,1.067e-08,1.3924e-08,8.0089e-10,2.5281000000000003e-10,6.44809e-09
900,0.01039,1.054e-08,1.3689e-08,8.0089e-10,2.5281000000000003e-10,6.416009999999999e-09
910,0.01026,1.041e-08,1.3456e-08,8.0089e-10,2.5281000000000003e-10,6.400000000000001e-09
920,0.01013,1.028e-08,1.3225000000000001e-08,7.9524e-10,2.56e-10,6.36804e-09
930,0.01001,1.014e-08,1.3225000000000001e-08,7.9524e-10,2.56e-10,6.35209e-09
940,0.009891,1e-08,1.2996000000000001e-08,7.896099999999999e-10,2.56e-10,6.320249999999999e-09
950,0.009773,9.866e-09,1.2768999999999998e-08,7.896099999999999e-10,2.56e-10,6.304360000000001e-09
960,0.009659,9.727e-09,1.2544e-08,7.896099999999999e-10,2.592099999999999e-10,6.27264e-09
970,0.009548,9.589e-09,1.2321e-08,7.84e-10,2.592099999999999e-10,6.25681e-09
980,0.00944,9.451e-09,1.21e-08,7.84e-10,2.592099999999999e-10,6.225209999999999e-09
990,0.009335,9.314e-09,1.1881e-08,7.7841e-10,2.6244000000000003e-10,6.19369e-09
