iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
800,0.0005016,5.016000000000001e-05,2.972e-09,2.4336e-08,2.970250000000001e-11,5.27076e-11,1.8225e-10,0.003474,0.4576036,0.555,0.381,0.00045,0.00347,0.012
810,0.0004912,4.9120000000000004e-05,2.999e-09,6.2409999999999994e-09,2.64196e-11,5.01264e-11,1.7689e-10,0.003825,0.4576036,0.342,0.378,0.00045,0.00382,0.0118
820,0.0004856,4.8559999999999996e-05,2.425e-09,1.4884e-08,2.4108099999999997e-11,5.0552099999999993e-11,1.7161e-10,0.003547,0.4576036,0.498,0.376,0.00045,0.00355,0.00947
830,0.0004737,4.737e-05,5.941e-09,9.04401e-09,2.29441e-11,4.9e-11,1.6899999999999999e-10,0.0007561,0.4576036,0.965,0.374,0.00044,0.000756,0.00478
840,0.0004689,4.689e-05,9.346e-09,7.920999999999999e-09,2.47009e-11,4.8163599999999996e-11,1.6383999999999997e-10,0.001017,0.4576036,0.96,0.372,0.00044,0.00102,0.00647
850,0.0004616,4.616e-05,3.466e-09,1.0201e-08,2.2372899999999996e-11,4.71969e-11,1.6129000000000002e-10,0.00571,0.4576036,0.172,0.37,0.00044,0.00571,0.0175
860,0.000456,4.5600000000000004e-05,3.154e-09,5.6550399999999995e-09,2.1344399999999998e-11,4.6922499999999994e-11,1.5625e-10,0.003663,0.4576036,0.302,0.368,0.00043,0.00366,0.0109
870,0.000452,4.52e-05,3.386e-09,1.3225000000000001e-08,2.2372899999999996e-11,4.63761e-11,1.5376e-10,0.001547,0.4576036,0.944,0.366,0.00043,0.00155,0.00659
880,0.0004452,4.452e-05,1.207e-09,3.90625e-09,2.1436899999999996e-11,4.66489e-11,1.4884e-10,0.006224,0.4576036,0.0953,0.364,0.00043,0.00622,0.0175
890,0.0004394,4.394e-05,3.293e-09,7.3960000000000005e-09,2.04304e-11,4.61041e-11,1.4641e-10,0.004437,0.4576036,0.223,0.362,0.00043,0.00444,0.0132
