iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
1640,0.00569,0.000569,5.018e-09,7.083784299369935e-05,0.02366,0.4538431,0.00223,0.0023
1650,0.005657,0.0005656999999999999,4.996e-09,7.068238818828917e-05,0.02364,0.4538431,0.00222,0.0023
1660,0.005625,0.0005625,4.975e-09,7.053367989832942e-05,0.02361,0.4538431,0.00221,0.0023
1670,0.005593,0.0005593,4.954e-09,7.03846574190711e-05,0.02359,0.4538431,0.0022,0.0023
1680,0.005561,0.0005561,4.933e-09,7.023531875061151e-05,0.02356,0.4538431,0.0022,0.0023
1690,0.00553,0.000553,4.913e-09,7.009279563550022e-05,0.02352,0.4538431,0.00219,0.0023
1700,0.005499,0.0005499000000000001,4.893e-09,6.994998213009064e-05,0.02349,0.4538431,0.00218,0.0023
1710,0.005469,0.0005469,4.873e-09,6.980687645210893e-05,0.02345,0.4538431,0.00218,0.0023
1720,0.005439,0.0005439,4.854e-09,6.967065379340142e-05,0.0234,0.4538431,0.00217,0.0023
1730,0.005409,0.0005409,4.835e-09,6.953416426476988e-05,0.02335,0.4538431,0.00216,0.0023
1740,0.00538,0.0005380000000000001,4.816e-09,6.939740629158989e-05,0.0233,0.4538431,0.00216,0.0023
1750,0.005351,0.0005350999999999999,4.797e-09,6.926037828369118e-05,0.02324,0.4538431,0.00215,0.0023
1760,0.005323,0.0005323,4.779e-09,6.913031173081748e-05,0.02318,0.4538431,0.00214,0.0023
1770,0.005295,0.0005295,4.761e-09,6.9e-05,0.02311,0.4538431,0.00214,0.0023
1780,0.005268,0.0005268,4.743e-09,6.886944169949398e-05,0.02304,0.4538431,0.00213,0.0023
1790,0.005241,0.0005241,4.725e-09,6.87386354243376e-05,0.02296,0.4538431,0.00212,0.0023
1800,0.005215,0.0005215,4.707e-09,6.860757975617563e-05,0.02287,0.4538431,0.00212,0.0023
1810,0.005189,0.0005189,4.69e-09,6.848357467305573e-05,0.02278,0.4538431,0.00211,0.0023
1820,0.005163,0.0005163,4.673e-09,6.83593446428504e-05,0.02268,0.4538431,0.0021,0.0023
1830,0.005138,0.0005138,4.655e-09,6.822756041366275e-05,0.02258,0.4538431,0.0021,0.0023
1840,0.005114,0.0005114,4.638e-09,6.810286337592569e-05,0.02247,0.4538431,0.00209,0.0023
1850,0.00509,0.000509,4.621e-09,6.797793759742936e-05,0.02235,0.4538431,0.00209,0.0022
1860,0.005066,0.0005066000000000001,4.604e-09,6.78527818147495e-05,0.02223,0.4538431,0.00208,0.0022
1870,0.005043,0.0005043,4.587e-09,6.772739475278818e-05,0.0221,0.4538431,0.00207,0.0022
1880,0.005021,0.0005021,4.571e-09,6.760917097554147e-05,0.02197,0.4538431,0.00207,0.0022
1890,0.004999,0.0004999,4.554e-09,6.748333127521195e-05,0.02183,0.4538431,0.00206,0.0022
1900,0.004977,0.0004977,4.537e-09,6.735725647619564e-05,0.02169,0.4538431,0.00206,0.0022
1910,0.004956,0.0004956,4.521e-09,6.723838189605696e-05,0.02154,0.4538431,0.00205,0.0022
1920,0.004935,0.0004935,4.505e-09,6.711929677819934e-05,0.02138,0.4538431,0.00204,0.0022
1930,0.004914,0.0004914,4.488e-09,6.69925368977769e-05,0.02122,0.4538431,0.00224,0.0022
1940,0.004892,0.0004892,4.47e-09,6.685805860178711e-05,0.02104,0.4538431,0.00224,0.0022
1950,0.004871,0.0004871,4.453e-09,6.673080248281149e-05,0.02085,0.4538431,0.00223,0.0022
1960,0.00485,0.000485,4.436e-09,6.660330322138685e-05,0.02066,0.4538431,0.00222,0.0022
1970,0.00483,0.00048300000000000003,4.419e-09,6.647555941848101e-05,0.02047,0.4538431,0.00222,0.0022
1980,0.004811,0.00048110000000000004,4.402e-09,6.634756966159348e-05,0.02027,0.4538431,0.00221,0.0022
1990,0.004792,0.00047920000000000005,4.385e-09,6.621933252457321e-05,0.02007,0.4538431,0.00221,0.0022
2000,0.004774,0.00047739999999999995,4.368e-09,6.609084656743322e-05,0.01987,0.4538431,0.0022,0.0022
2010,0.004756,0.00047559999999999996,4.351e-09,6.596211033616192e-05,0.01966,0.4538431,0.00219,0.0022
2020,0.004738,0.0004738,4.335e-09,6.584071688552609e-05,0.01946,0.4538431,0.00219,0.0022
2030,0.004721,0.00047210000000000004,4.318e-09,6.571149062378664e-05,0.01925,0.4538431,0.00218,0.0022
2040,0.004705,0.0004705,4.302e-09,6.558963332722634e-05,0.01904,0.4538431,0.00218,0.0022
2050,0.004689,0.00046889999999999996,4.285e-09,6.545991139621257e-05,0.01882,0.4538431,0.00217,0.0022
2060,0.004673,0.00046730000000000003,4.269e-09,6.533758489567854e-05,0.01861,0.4538431,0.00216,0.0022
2070,0.004658,0.0004658,4.253e-09,6.521502894272147e-05,0.0184,0.4538431,0.00216,0.0022
2080,0.004643,0.00046430000000000006,4.237e-09,6.509224224129939e-05,0.01819,0.4538431,0.00215,0.0022
2090,0.004629,0.00046290000000000003,4.222e-09,6.497691897897283e-05,0.01798,0.4538431,0.00215,0.0022
2100,0.004615,0.0004615,4.206e-09,6.485368146836385e-05,0.01776,0.4538431,0.00214,0.0022
2110,0.004601,0.0004601,4.19e-09,6.473020933072903e-05,0.01755,0.4538431,0.00235,0.0022
2120,0.004586,0.0004586,4.174e-09,6.460650122085238e-05,0.01732,0.4538431,0.00234,0.0022
2130,0.004572,0.00045719999999999995,4.157e-09,6.447480127925948e-05,0.01709,0.4538431,0.00234,0.0022
2140,0.004558,0.0004558,4.141e-09,6.435060217278468e-05,0.01686,0.4538431,0.00233,0.0022
2150,0.004545,0.00045450000000000004,4.125e-09,6.422616289332564e-05,0.01664,0.4538431,0.00233,0.0022
2160,0.004532,0.00045319999999999996,4.11e-09,6.410928169929843e-05,0.01642,0.4538431,0.00232,0.0021
2170,0.004519,0.0004519,4.094e-09,6.398437309218557e-05,0.0162,0.4538431,0.00231,0.0021
2180,0.004507,0.00045069999999999995,4.079e-09,6.386704940734306e-05,0.01599,0.4538431,0.00231,0.0021
2190,0.004495,0.0004495,4.063e-09,6.374166612193315e-05,0.01578,0.4538431,0.0023,0.0021
2200,0.004483,0.0004483,4.048e-09,6.362389488234746e-05,0.01557,0.4538431,0.0023,0.0021
2210,0.004472,0.00044720000000000003,4.033e-09,6.350590523722971e-05,0.01537,0.4538431,0.00229,0.0021
2220,0.004461,0.00044609999999999995,4.019e-09,6.339558344238185e-05,0.01517,0.4538431,0.00229,0.0021
2230,0.00445,0.000445,4.004e-09,6.32771680782255e-05,0.01497,0.4538431,0.00228,0.0021
2240,0.004439,0.0004439,3.99e-09,6.316644678941502e-05,0.01478,0.4538431,0.00227,0.0021
2250,0.004429,0.0004429,3.976e-09,6.305553108173779e-05,0.01462,0.4538431,0.00227,0.0021
2260,0.004419,0.0004419,3.962e-09,6.294441992742486e-05,0.01459,0.4538431,0.00226,0.0021
2270,0.004409,0.0004409,3.949e-09,6.28410693734599e-05,0.01455,0.4538431,0.00226,0.0021
2280,0.0044,0.00044,3.935e-09,6.272957835024878e-05,0.01451,0.4538431,0.00225,0.0021
2290,0.00439,0.000439,3.922e-09,6.26258732474047e-05,0.01448,0.4538431,0.00225,0.0021
2300,0.00438,0.000438,3.908e-09,6.251399843235114e-05,0.01444,0.4538431,0.00246,0.0021
2310,0.00437,0.000437,3.894e-09,6.240192304729078e-05,0.01441,0.4538431,0.00246,0.0021
2320,0.004361,0.00043610000000000003,3.88e-09,6.228964600958975e-05,0.01437,0.4538431,0.00245,0.0021
2330,0.004351,0.0004351,3.866e-09,6.217716622683926e-05,0.01434,0.4538431,0.00245,0.0021
2340,0.004342,0.00043420000000000004,3.853e-09,6.207253821135398e-05,0.01431,0.4538431,0.00244,0.0021
2350,0.004333,0.0004333,3.84e-09,6.196773353931867e-05,0.01427,0.4538431,0.00244,0.0021
2360,0.004324,0.0004324,3.826e-09,6.185466837676846e-05,0.01424,0.4538431,0.00243,0.0021
2370,0.004315,0.0004315,3.814e-09,6.175759062657804e-05,0.01421,0.4538431,0.00242,0.0021
2380,0.004307,0.0004307,3.801e-09,6.16522505671934e-05,0.01418,0.4538431,0.00242,0.0021
2390,0.004298,0.0004298,3.788e-09,6.154673021371648e-05,0.01415,0.4538431,0.00241,0.0021
2400,0.00429,0.000429,3.776e-09,6.144916598294886e-05,0.01411,0.4538431,0.00241,0.0021
2410,0.004282,0.0004282,3.764e-09,6.135144660071187e-05,0.01408,0.4538431,0.0024,0.0021
2420,0.004274,0.0004274,3.752e-09,6.125357132445422e-05,0.01405,0.4538431,0.0024,0.0021
