iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
580,0.3684,0.03681,0.06086,0.037249000000000004,0.051984,0.132496,0.136161,0.193,0.228,0.364,0.369,11.6,0.000419,0.00485,0.0001,1.4e-08,0.668,0.0364
590,0.3653,0.03649,0.06031,0.036864,0.051984,0.130321,0.134689,0.192,0.228,0.361,0.367,11.2,0.000416,0.00464,0.0001,1.5e-08,0.663,0.0364
600,0.3619,0.03615,0.05971,0.036481,0.051984,0.128881,0.133956,0.191,0.228,0.359,0.366,10.6,0.000454,0.00482,0.0001,1.71e-08,0.658,0.0364
610,0.3584,0.0358,0.05911,0.0361,0.051529000000000005,0.126736,0.132496,0.19,0.227,0.356,0.364,9.91,0.000496,0.00491,0.0001,1.02e-08,0.652,0.0364
620,0.3546,0.03542,0.05844,0.035721,0.051076,0.12390399999999999,0.131044,0.189,0.226,0.352,0.362,8.99,0.000492,0.00442,0.0001,1.23e-08,0.646,0.0364
630,0.3505,0.03501,0.05768,0.035344,0.050625,0.12110399999999999,0.130321,0.188,0.225,0.348,0.361,7.94,0.000591,0.00469,0.0001,1.11e-08,0.64,0.0364
640,0.3459,0.03454,0.05681,0.034969,0.049729,0.11833599999999998,0.128164,0.187,0.223,0.344,0.358,7.56,0.000645,0.00488,0.0001,1.23e-08,0.633,0.0364
650,0.3407,0.03401,0.05584,0.034225,0.048841,0.11492100000000001,0.126736,0.185,0.221,0.339,0.356,7.66,0.000775,0.00594,0.0001,9.8e-09,0.625,0.0364
660,0.3347,0.0334,0.05476,0.033489,0.047961,0.11155600000000002,0.12460899999999998,0.183,0.219,0.334,0.353,7.09,0.000932,0.0066,0.0001,1.06e-08,0.615,0.0364
670,0.3276,0.03267,0.05351,0.032761,0.047089,0.108241,0.12180099999999998,0.181,0.217,0.329,0.349,5.9,0.00112,0.0066,0.0001,8.86e-09,0.605,0.0364
680,0.3189,0.0318,0.05195,0.032041,0.046655999999999996,0.10304100000000001,0.11902499999999998,0.179,0.216,0.321,0.345,4.9,0.00135,0.00659,0.0001,8.14e-09,0.593,0.0364
690,0.3085,0.03073,0.04995,0.030975999999999997,0.045795999999999996,0.095481,0.11492100000000001,0.176,0.214,0.309,0.339,3.96,0.00178,0.00705,0.0001,9.36e-09,0.578,0.0364
