iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
1760,nan,0.0002264,nan,0.0002264,PDE_obj_MSE
1770,nan,0.0002258,nan,0.0002258,PDE_obj_MSE
1780,nan,0.0002239,nan,0.0002239,PDE_obj_MSE
1790,nan,0.0002243,nan,0.0002243,PDE_obj_MSE
1800,nan,0.0002224,nan,0.0002224,PDE_obj_MSE
1810,nan,0.0002201,nan,0.0002201,PDE_obj_MSE
1820,nan,0.0002198,nan,0.0002198,PDE_obj_MSE
1830,nan,0.0002174,nan,0.0002174,PDE_obj_MSE
1840,nan,0.0002172,nan,0.0002172,PDE_obj_MSE
1850,nan,0.0002155,nan,0.0002155,PDE_obj_MSE
1860,nan,0.0002138,nan,0.0002138,PDE_obj_MSE
1870,nan,0.0002149,nan,0.0002149,PDE_obj_MSE
1880,nan,0.0002124,nan,0.0002124,PDE_obj_MSE
1890,nan,0.0002102,nan,0.0002102,PDE_obj_MSE
1900,nan,0.0002103,nan,0.0002103,PDE_obj_MSE
1910,nan,0.0002068,nan,0.0002068,PDE_obj_MSE
1920,nan,0.0002071,nan,0.0002071,PDE_obj_MSE
1930,nan,0.0002069,nan,0.0002069,PDE_obj_MSE
1940,nan,0.0002057,nan,0.0002057,PDE_obj_MSE
1950,nan,0.0002034,nan,0.0002034,PDE_obj_MSE
1960,nan,0.0002024,nan,0.0002024,PDE_obj_MSE
1970,nan,0.000202,nan,0.000202,PDE_obj_MSE
1980,nan,0.0002,nan,0.0002,PDE_obj_MSE
1990,nan,0.0002001,nan,0.0002001,PDE_obj_MSE
2000,nan,0.0001982,nan,0.0001982,PDE_obj_MSE
2010,nan,0.0001961,nan,0.0001961,PDE_obj_MSE
2020,nan,0.0001959,nan,0.0001959,PDE_obj_MSE
2030,nan,0.000195,nan,0.000195,PDE_obj_MSE
2040,nan,0.0001943,nan,0.0001943,PDE_obj_MSE
2050,nan,0.0001929,nan,0.0001929,PDE_obj_MSE
2060,nan,0.0001922,nan,0.0001922,PDE_obj_MSE
2070,nan,0.0001914,nan,0.0001914,PDE_obj_MSE
2080,nan,0.0001904,nan,0.0001904,PDE_obj_MSE
2090,nan,0.0001895,nan,0.0001895,PDE_obj_MSE
2100,nan,0.0001873,nan,0.0001873,PDE_obj_MSE
2110,nan,0.0001874,nan,0.0001874,PDE_obj_MSE
2120,nan,0.0001853,nan,0.0001853,PDE_obj_MSE
2130,nan,0.0001854,nan,0.0001854,PDE_obj_MSE
2140,nan,0.0001838,nan,0.0001838,PDE_obj_MSE
2150,nan,0.0001837,nan,0.0001837,PDE_obj_MSE
2160,nan,0.0001821,nan,0.0001821,PDE_obj_MSE
2170,nan,0.000182,nan,0.000182,PDE_obj_MSE
2180,nan,0.0001812,nan,0.0001812,PDE_obj_MSE
2190,nan,0.0001795,nan,0.0001795,PDE_obj_MSE
2200,nan,0.000179,nan,0.000179,PDE_obj_MSE
2210,nan,0.0001784,nan,0.0001784,PDE_obj_MSE
2220,nan,0.0001799,nan,0.0001799,PDE_obj_MSE
2230,nan,0.000176,nan,0.000176,PDE_obj_MSE
2240,nan,0.0001755,nan,0.0001755,PDE_obj_MSE
2250,nan,0.0001753,nan,0.0001753,PDE_obj_MSE
2260,nan,0.0001733,nan,0.0001733,PDE_obj_MSE
2270,nan,0.0001727,nan,0.0001727,PDE_obj_MSE
