iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
1530,0.00026,2.6e-05,7.894e-10,2.809626309671804e-05,0.001671,0.4576036,0.585,0.00031
1540,0.0002561,2.561e-05,1.156e-09,3.4e-05,0.003273,0.4576036,0.299,0.0003
1550,0.0002571,2.5710000000000003e-05,1.526e-09,3.906404996924922e-05,0.0009055,0.4576036,0.935,0.0003
1560,0.0002536,2.5359999999999998e-05,5.366e-10,2.3164628207679053e-05,0.002987,0.4576036,0.203,0.0003
1570,0.0002522,2.522e-05,7.287e-10,2.6994443872767595e-05,0.003036,0.4576036,0.184,0.0003
1580,0.0002504,2.504e-05,1.038e-09,3.2218007387174025e-05,0.002422,0.4576036,0.295,0.0003
1590,0.000249,2.49e-05,8.14e-10,2.853068523537421e-05,0.003436,0.4576036,0.182,0.0003
1600,0.0002476,2.476e-05,4.471e-10,2.1144739298463813e-05,0.002205,0.4576036,0.39,0.0003
1610,0.0002462,2.462e-05,1.411e-09,3.75632799419859e-05,0.005146,0.4576036,0.102,0.0003
1620,0.0002461,2.4610000000000003e-05,1.183e-09,3.4394767043839675e-05,0.004973,0.4576036,0.0843,0.0003
1630,0.000244,2.44e-05,8.987e-10,2.9978325503603434e-05,0.002534,0.4576036,0.29,0.0003
1640,0.0002465,2.4649999999999996e-05,3.567e-09,5.972436688655645e-05,0.001386,0.4576036,0.998,0.00029
1650,0.0002421,2.421e-05,1.324e-09,3.6386810797320505e-05,0.001283,0.4576036,0.995,0.00029
1660,0.0002394,2.3939999999999998e-05,8.73e-10,2.9546573405388314e-05,0.004079,0.4576036,0.162,0.00029
1670,0.0002383,2.383e-05,4.836e-10,2.1990907211845534e-05,0.002252,0.4576036,0.461,0.00029
1680,0.0002367,2.3670000000000002e-05,1.541e-09,3.925557285278104e-05,0.003178,0.4576036,0.195,0.00029
1690,0.000235,2.35e-05,3.064e-09,5.535341001239219e-05,0.0009325,0.4576036,0.982,0.00029
1700,0.0002336,2.336e-05,3.042e-09,5.5154328932550706e-05,0.0009875,0.4576036,0.979,0.00029
1710,0.0002316,2.316e-05,2.416e-09,4.915282290977803e-05,0.003621,0.4576036,0.176,0.00029
1720,0.0002319,2.319e-05,1.077e-09,3.2817678162843875e-05,0.002538,0.4576036,0.159,0.00029
1730,0.0002309,2.309e-05,1.345e-09,3.66742416417845e-05,0.00275,0.4576036,0.34,0.00028
1740,0.0002283,2.283e-05,1.294e-09,3.5972211497209896e-05,0.000572,0.4576036,0.967,0.00028
1750,0.0002305,2.3049999999999998e-05,1.007e-09,3.173326330524486e-05,0.001441,0.4576036,0.964,0.00028
1760,0.0002264,2.264e-05,6.108e-10,2.4714368290530916e-05,0.002576,0.4576036,0.37,0.00028
1770,0.0002258,2.258e-05,1.117e-09,3.342154993413681e-05,0.001697,0.4576036,0.492,0.00028
1780,0.0002239,2.239e-05,2.237e-09,4.729693436154187e-05,0.004029,0.4576036,0.129,0.00028
1790,0.0002243,2.243e-05,3.031e-09,5.505451843400322e-05,0.0008836,0.4576036,0.952,0.00028
1800,0.0002224,2.224e-05,7.684e-10,2.7720028860013834e-05,0.00498,0.4576036,0.0409,0.00028
1810,0.0002201,2.201e-05,2.489e-10,1.5776564898608315e-05,0.00155,0.4576036,0.441,0.00028
1820,0.0002198,2.198e-05,8.918e-10,2.9863020610782156e-05,0.001054,0.4576036,0.78,0.00028
1830,0.0002174,2.174e-05,5.128e-10,2.2645087767549058e-05,0.002461,0.4576036,0.33,0.00028
1840,0.0002172,2.172e-05,7.592e-10,2.7553584158871237e-05,0.003126,0.4576036,0.169,0.00028
1850,0.0002155,2.1550000000000002e-05,6.342e-10,2.5183327818221325e-05,0.003039,0.4576036,0.204,0.00028
1860,0.0002138,2.138e-05,9.34e-10,3.0561413579872255e-05,0.003605,0.4576036,0.152,0.00028
1870,0.0002149,2.149e-05,2.147e-09,4.633573135281238e-05,0.001547,0.4576036,0.845,0.00027
1880,0.0002124,2.124e-05,9.477e-10,3.0784736477676725e-05,0.00275,0.4576036,0.222,0.00027
1890,0.0002102,2.102e-05,3.179e-10,1.7829750418892578e-05,0.002286,0.4576036,0.221,0.00027
1900,0.0002103,2.103e-05,4.056e-10,2.0139513400278567e-05,0.002182,0.4576036,0.43,0.00027
1910,0.0002068,2.0680000000000002e-05,2.739e-09,5.23354564325181e-05,0.0006081,0.4576036,1.01,0.00027
1920,0.0002071,2.071e-05,3.458e-10,1.859569842732453e-05,0.002198,0.4576036,0.353,0.00027
1930,0.0002069,2.069e-05,7.427e-10,2.725252281899788e-05,0.004313,0.4576036,0.0844,0.00027
1940,0.0002057,2.057e-05,1.135e-09,3.368976105584603e-05,0.001042,0.4576036,1.0,0.00027
1950,0.0002034,2.0340000000000002e-05,1.067e-09,3.266496594212215e-05,0.002448,0.4576036,0.319,0.00027
1960,0.0002024,2.024e-05,1.26e-09,3.5496478698597695e-05,0.0008094,0.4576036,0.997,0.00026
1970,0.000202,2.02e-05,4.568e-10,2.1372880011828075e-05,0.001512,0.4576036,0.51,0.00026
1980,0.0002,2e-05,2.245e-09,4.738143096192854e-05,0.0003101,0.4576036,0.992,0.00026
1990,0.0002001,2.001e-05,5.667e-10,2.3805461558222306e-05,0.001363,0.4576036,0.558,0.00026
2000,0.0001982,1.982e-05,1.081e-09,3.287856444554719e-05,0.005009,0.4576036,0.0827,0.00026
2010,0.0001961,1.961e-05,1.18e-09,3.435112807463534e-05,0.0004826,0.4576036,0.983,0.00026
2020,0.0001959,1.959e-05,2.543e-10,1.594678651014053e-05,0.001868,0.4576036,0.344,0.00026
2030,0.000195,1.95e-05,2.36e-09,4.857983120596448e-05,0.0003912,0.4576036,0.978,0.00026
2040,0.0001943,1.9430000000000002e-05,7.022e-10,2.6499056586980603e-05,0.0018,0.4576036,0.501,0.00026
2050,0.0001929,1.929e-05,6.871e-10,2.6212592393733208e-05,0.002832,0.4576036,0.175,0.00026
2060,0.0001922,1.9220000000000002e-05,4.072e-10,2.01791972090071e-05,0.002304,0.4576036,0.232,0.00026
2070,0.0001914,1.914e-05,1.309e-09,3.618010503025109e-05,0.0006921,0.4576036,0.968,0.00026
2080,0.0001904,1.904e-05,8.082e-10,2.842885857715712e-05,0.0024,0.4576036,0.338,0.00026
2090,0.0001895,1.895e-05,9.261e-10,3.0431891166997822e-05,0.002955,0.4576036,0.157,0.00026
2100,0.0001873,1.873e-05,6.652e-10,2.5791471458604298e-05,0.0002525,0.4576036,0.96,0.00025
2110,0.0001874,1.874e-05,5.031e-10,2.2429890771022494e-05,0.002173,0.4576036,0.369,0.00025
2120,0.0001853,1.853e-05,1.203e-09,3.4684290392049256e-05,0.003615,0.4576036,0.156,0.00025
2130,0.0001854,1.8540000000000002e-05,1.945e-09,4.410215414239989e-05,0.0006778,0.4576036,0.953,0.00025
2140,0.0001838,1.838e-05,6.779e-10,2.6036512823340995e-05,0.002872,0.4576036,0.171,0.00025
2150,0.0001837,1.837e-05,4.436e-10,2.106181378704123e-05,0.001251,0.4576036,0.589,0.00025
2160,0.0001821,1.821e-05,2.062e-09,4.5409250158970915e-05,0.0006168,0.4576036,0.945,0.00025
2170,0.000182,1.8200000000000002e-05,1.193e-09,3.4539832078341086e-05,0.001151,0.4576036,0.943,0.00025
2180,0.0001812,1.8120000000000003e-05,7.238e-10,2.6903531366718384e-05,0.0009491,0.4576036,0.777,0.00025
2190,0.0001795,1.795e-05,4.812e-10,2.193627133311402e-05,0.00348,0.4576036,0.105,0.00025
2200,0.000179,1.7899999999999998e-05,4.432e-10,2.1052315787105227e-05,0.001695,0.4576036,0.361,0.00025
2210,0.0001784,1.784e-05,1.239e-09,3.519943181359608e-05,0.00452,0.4576036,0.0948,0.00025
2220,0.0001799,1.7990000000000002e-05,1.692e-09,4.1133927602406264e-05,0.001254,0.4576036,0.931,0.00024
2230,0.000176,1.76e-05,5.556e-10,2.357116882973774e-05,0.003206,0.4576036,0.104,0.00025
2240,0.0001755,1.755e-05,3.866e-10,1.966214637317096e-05,0.001723,0.4576036,0.393,0.00024
2250,0.0001753,1.753e-05,1.113e-09,3.3361654635224556e-05,0.0006957,0.4576036,0.924,0.00024
