iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
1930,nan,0.2999,nan,0.2999,PDE_obj_MSE
1940,nan,0.2999,nan,0.2999,PDE_obj_MSE
1950,nan,0.2999,nan,0.2999,PDE_obj_MSE
1960,nan,0.2999,nan,0.2999,PDE_obj_MSE
1970,nan,0.2999,nan,0.2999,PDE_obj_MSE
1980,nan,0.2999,nan,0.2999,PDE_obj_MSE
1990,nan,0.2999,nan,0.2999,PDE_obj_MSE
2000,nan,0.2999,nan,0.2999,PDE_obj_MSE
2010,nan,0.2999,nan,0.2999,PDE_obj_MSE
2020,nan,0.2999,nan,0.2999,PDE_obj_MSE
2030,nan,0.2999,nan,0.2999,PDE_obj_MSE
2040,nan,0.2999,nan,0.2999,PDE_obj_MSE
2050,nan,0.2999,nan,0.2999,PDE_obj_MSE
2060,nan,0.2999,nan,0.2999,PDE_obj_MSE
2070,nan,0.2999,nan,0.2999,PDE_obj_MSE
2080,nan,0.2999,nan,0.2999,PDE_obj_MSE
2090,nan,0.2999,nan,0.2999,PDE_obj_MSE
2100,nan,0.2999,nan,0.2999,PDE_obj_MSE
2110,nan,0.2999,nan,0.2999,PDE_obj_MSE
2120,nan,0.2999,nan,0.2999,PDE_obj_MSE
2130,nan,0.2999,nan,0.2999,PDE_obj_MSE
2140,nan,0.2999,nan,0.2999,PDE_obj_MSE
2150,nan,0.2999,nan,0.2999,PDE_obj_MSE
2160,nan,0.2999,nan,0.2999,PDE_obj_MSE
2170,nan,0.2999,nan,0.2999,PDE_obj_MSE
2180,nan,0.2999,nan,0.2999,PDE_obj_MSE
2190,nan,0.2999,nan,0.2999,PDE_obj_MSE
2200,nan,0.2999,nan,0.2999,PDE_obj_MSE
2210,nan,0.2999,nan,0.2999,PDE_obj_MSE
2220,nan,0.2999,nan,0.2999,PDE_obj_MSE
2230,nan,0.2999,nan,0.2999,PDE_obj_MSE
2240,nan,0.2999,nan,0.2999,PDE_obj_MSE
2250,nan,0.2999,nan,0.2999,PDE_obj_MSE
2260,nan,0.2999,nan,0.2999,PDE_obj_MSE
2270,nan,0.2999,nan,0.2999,PDE_obj_MSE
2280,nan,0.2999,nan,0.2999,PDE_obj_MSE
2290,nan,0.2999,nan,0.2999,PDE_obj_MSE
2300,nan,0.2999,nan,0.2999,PDE_obj_MSE
2310,nan,0.2999,nan,0.2999,PDE_obj_MSE
2320,nan,0.2999,nan,0.2999,PDE_obj_MSE
2330,nan,0.2999,nan,0.2999,PDE_obj_MSE
2340,nan,0.2999,nan,0.2999,PDE_obj_MSE
2350,nan,0.2999,nan,0.2999,PDE_obj_MSE
2360,nan,0.2999,nan,0.2999,PDE_obj_MSE
2370,nan,0.2999,nan,0.2999,PDE_obj_MSE
2380,nan,0.2999,nan,0.2999,PDE_obj_MSE
2390,nan,0.2999,nan,0.2999,PDE_obj_MSE
2400,nan,0.2999,nan,0.2999,PDE_obj_MSE
2410,nan,0.2999,nan,0.2999,PDE_obj_MSE
2420,nan,0.2999,nan,0.2999,PDE_obj_MSE
2430,nan,0.2999,nan,0.2999,PDE_obj_MSE
2440,nan,0.2999,nan,0.2999,PDE_obj_MSE
2450,nan,0.2999,nan,0.2999,PDE_obj_MSE
2460,nan,0.2999,nan,0.2999,PDE_obj_MSE
2470,nan,0.2999,nan,0.2999,PDE_obj_MSE
2480,nan,0.2999,nan,0.2999,PDE_obj_MSE
2490,nan,0.2999,nan,0.2999,PDE_obj_MSE
2500,nan,0.2999,nan,0.2999,PDE_obj_MSE
2510,nan,0.2999,nan,0.2999,PDE_obj_MSE
2520,nan,0.2999,nan,0.2999,PDE_obj_MSE
2530,nan,0.2999,nan,0.2999,PDE_obj_MSE
2540,nan,0.2999,nan,0.2999,PDE_obj_MSE
2550,nan,0.2999,nan,0.2999,PDE_obj_MSE
2560,nan,0.2999,nan,0.2999,PDE_obj_MSE
2570,nan,0.2999,nan,0.2999,PDE_obj_MSE
2580,nan,0.2999,nan,0.2999,PDE_obj_MSE
