iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
880,0.0004452,1.207e-09,3.90625e-09,2.1436899999999996e-11,4.66489e-11,1.4884e-10
890,0.0004394,3.293e-09,7.3960000000000005e-09,2.04304e-11,4.61041e-11,1.4641e-10
900,0.0004337,1.782e-09,3.95641e-09,2.19961e-11,4.4890000000000006e-11,1.4400000000000002e-10
910,0.0004318,3.345e-09,4.38244e-09,2.05209e-11,4.4622400000000006e-11,1.4161e-10
920,0.000426,2.447e-09,7.90321e-09,2.0070400000000003e-11,4.39569e-11,1.3689e-10
930,0.00042,3.44e-09,4.019559999999999e-09,2.1436899999999996e-11,4.39569e-11,1.3456000000000002e-10
940,0.0004187,5.264e-10,9.37024e-09,2.025e-11,4.3164899999999994e-11,1.3225e-10
950,0.0004154,5.861e-09,1.4161000000000002e-08,2.0070400000000003e-11,4.2640900000000003e-11,1.2995999999999998e-10
960,0.0004074,8.638e-10,5.184e-09,1.9980900000000004e-11,4.25104e-11,1.2543999999999998e-10
970,0.0004029,1.434e-09,8.70489e-09,1.9891599999999998e-11,4.2380100000000006e-11,1.2321e-10
980,0.0003974,4.46e-09,9.216000000000001e-09,1.8490000000000002e-11,4.16025e-11,1.21e-10
990,0.0003942,7.062e-10,4.8860100000000006e-09,1.8490000000000002e-11,4.04496e-11,1.1664e-10
1000,0.0003922,3.816e-09,4.10881e-09,1.9096899999999998e-11,4.07044e-11,1.1448999999999998e-10
1010,0.000385,1.028e-09,3.6723600000000003e-09,1.87489e-11,3.9816099999999996e-11,1.1236e-10
1020,0.000381,4.269e-09,5.140889999999999e-09,1.8147599999999998e-11,3.893760000000001e-11,1.1236e-10
1030,0.0003795,2.262e-09,7.744e-09,1.79776e-11,3.893760000000001e-11,1.1025e-10
1040,0.0003747,1.597e-09,7.327359999999999e-09,1.7639999999999997e-11,3.95641e-11,1.0608999999999999e-10
1050,0.0003712,2.872e-09,3.4456899999999995e-09,1.8232899999999998e-11,3.80689e-11,1.0608999999999999e-10
1060,0.0003704,2.862e-09,5.27076e-09,1.6892099999999997e-11,3.782250000000001e-11,1.0404000000000001e-10
1070,0.0003643,3.638e-09,6.130890000000001e-09,1.73056e-11,3.94384e-11,9.980009999999999e-11
1080,0.0003606,1.148e-09,6.4641600000000006e-09,1.70569e-11,3.76996e-11,9.920159999999998e-11
1090,0.0003581,2.681e-09,6.62596e-09,1.67281e-11,3.6966400000000005e-11,9.74169e-11
1100,0.000354,2.049e-09,4.899999999999999e-09,1.6402500000000002e-11,3.66025e-11,9.52576e-11
1110,0.0003506,4.717e-09,7.02244e-09,1.67281e-11,3.63609e-11,9.409000000000001e-11
1120,0.0003517,1.419e-09,9.682560000000002e-09,1.7556099999999996e-11,3.58801e-11,9.19681e-11
1130,0.0003443,1.061e-09,6.115240000000001e-09,1.6402500000000002e-11,3.6000000000000005e-11,8.987040000000002e-11
1140,0.0003433,1.282e-09,8.37225e-09,1.6240900000000003e-11,3.58801e-11,8.87364e-11
1150,0.00034,3.811e-09,9.486759999999999e-09,1.5288099999999998e-11,3.4339599999999996e-11,8.704890000000001e-11
1160,0.0003362,9.302e-10,8.89249e-09,1.67281e-11,3.52836e-11,8.593289999999999e-11
1170,0.0003347,1.278e-09,1.0404e-08,1.6892099999999997e-11,3.58801e-11,8.464e-11
1180,0.0003305,1.291e-09,1.3225000000000001e-08,1.6646399999999998e-11,3.3756100000000006e-11,8.37225e-11
1190,0.000331,2.134e-09,5.520490000000001e-09,1.54449e-11,3.3872400000000004e-11,8.20836e-11
1200,0.0003263,9.005e-10,4.26409e-09,1.51321e-11,3.31776e-11,8.046090000000001e-11
