x,y,t,phi_fuel_only,T_piecewise
0.36875,0.4375,1.0,0.13569356293745846,1.1030999389784177
0.36875,0.44375000000000003,1.0,0.13730311911711438,1.106855274258102
0.36875,0.45,1.0,0.13885798280795228,1.1105615189815425
0.36875,0.45625000000000004,1.0,0.140356576790492,1.1142173412479592
0.36875,0.4625,1.0,0.14179752189580644,1.1178215062987502
0.36875,0.46875,1.0,0.14317964272885159,1.1213728758829566
0.36875,0.47500000000000003,1.0,0.14450197188388025,1.1248704073633233
0.36875,0.48125,1.0,0.14576375259573265,1.1283131525742636
0.36875,0.48750000000000004,1.0,0.1469644397930226,1.1317002564440417
0.36875,0.49375,1.0,0.1481036995423474,1.1350309553943456
0.36875,0.5,1.0,0.14918140689613868,1.1383045755311823
0.36875,0.50625,1.0,0.1501976421800325,1.1415205306416827
0.36875,0.5125000000000001,1.0,0.15115268577818652,1.1446783200118564
0.36875,0.51875,1.0,0.1520470114961885,1.1477775260807515
0.36875,0.525,1.0,0.1528812786007105,1.150817811946735
0.36875,0.53125,1.0,0.15365632265229245,1.1537989187417161
0.36875,0.5375,1.0,0.1543731452623929,1.156720662889172
0.36875,0.5437500000000001,1.0,0.1550329029176821,1.159582933261771
0.36875,0.55,1.0,0.1556368950233947,1.1623856882541572
0.36875,0.55625,1.0,0.15618655132329776,1.1651289527862025
0.36875,0.5625,1.0,0.15668341885636045,1.167812815251667
0.36875,0.56875,1.0,0.15712914860978422,1.1704374244267262
0.36875,0.5750000000000001,1.0,0.15752548202466082,1.173002986352322
0.36875,0.58125,1.0,0.1578742375045225,1.175509761203699
0.36875,0.5875,1.0,0.1581772970686691,1.177958060159853
0.36875,0.59375,1.0,0.15843659328173756,1.1803482422849059
0.36875,0.6000000000000001,1.0,0.15865409657893292,1.1826807114327387
0.36875,0.6062500000000001,1.0,0.15883180309297654,1.184955913185404
0.36875,0.6125,1.0,0.15897172307460045,1.1871743318351313
0.36875,0.61875,1.0,0.1590758699836978,1.189336487418872
0.36875,0.625,1.0,0.15914625031330365,1.1914429328136098
0.36875,0.6312500000000001,1.0,0.15918485419390166,1.193494250899814
0.36875,0.6375000000000001,1.0,0.15919364681129466,1.1954910517996478
0.36875,0.64375,1.0,0.15917456065773847,1.1974339701957726
0.36875,0.65,1.0,0.15912948862347004,1.1993236627358086
0.36875,0.65625,1.0,0.15906027792425165,1.2011608055267948
0.36875,0.6625000000000001,1.0,0.15896872485023075,1.202946091723279
0.36875,0.6687500000000001,1.0,0.15885657031247807,1.2046802292119803
0.36875,0.675,1.0,0.15872549615580286,1.2063639383952949
0.36875,0.68125,1.0,0.1585771222001404,1.2079979500753704
0.36875,0.6875,1.0,0.1584130039677042,1.2095830034397905
0.36875,0.6937500000000001,1.0,0.15823463104923735,1.2111198441494773
0.36875,0.7000000000000001,1.0,0.15804342606007324,1.2126092225288239
0.36875,0.70625,1.0,0.1578407441349955,1.2140518918576677
0.36875,0.7125,1.0,0.15762787291030544,1.2154486067642511
0.36875,0.71875,1.0,0.15740603294163275,1.2168001217179438
0.36875,0.7250000000000001,1.0,0.15717637850693594,1.218107189620148
0.36875,0.7312500000000001,1.0,0.1569399987456923,1.2193705604914902
0.36875,0.7375,1.0,0.1566979190872616,1.2205909802531316
0.36875,0.74375,1.0,0.15645110292389913,1.2217691895997707
0.36875,0.75,1.0,0.15620045348657668,1.222905922961734
0.36875,0.7562500000000001,1.0,0.15594681588475773,1.2240019075533226
0.36875,0.7625000000000001,1.0,0.15569097927435496,1.225057862504488
0.36875,0.76875,1.0,0.15543367912123665,1.2260744980727465
0.36875,0.775,1.0,0.15517559953082105,1.2270525149321672
0.36875,0.78125,1.0,0.15491737561738972,1.2279926035362025
0.36875,0.7875000000000001,1.0,0.15465959588979045,1.2288954435510655
0.36875,0.7937500000000001,1.0,0.15440280463306266,1.2297617033563464
0.36875,0.8,1.0,0.15414750426828697,1.230592039609554
0.36875,0.80625,1.0,0.1538941576755261,1.2313870968712506
0.36875,0.8125,1.0,0.153643190467107,1.2321475072875376
0.36875,0.8187500000000001,1.0,0.15339499320070618,1.2328738903265846
0.36875,0.8250000000000001,1.0,0.15314992352370277,1.2335668525660706
0.36875,0.83125,1.0,0.15290830824208063,1.2342269875283562
0.36875,0.8375,1.0,0.15267044530877838,1.2348548755603606
0.36875,0.84375,1.0,0.15243660572786333,1.2354510837551276
0.36875,0.8500000000000001,1.0,0.1522070353721295,1.2360161659122137
0.36875,0.8562500000000001,1.0,0.15198195671288192,1.2365506625340918
0.36875,0.8625,1.0,0.151761570461582,1.2370551008558421
